fileName;synonyms;closestWords;relatedWords;categories
secretary_2a.svg;sihteeri&Sagittarius serpentarius&sihteerilintu&aktuaari&luottohenkilö;petolintu&sagittarius-suku&hallintojohtaja&apumies&läheinen ystävä&johdon sihteeri&vastaanottovirkailija&suhdetoimintasihteeri&pikakirjoittaja&hallitussihteeri&kaupunginsihteeri&kulttuurisihteeri&kunnansihteeri&osastosihteeri&projektisihteeri&puoluesihteeri&toimistosihteeri&johdon assistentti&assistentti;petolintu&Sagittarius&Sagittarius-suku&hallintojohtaja&apulainen&assistentti&avustaja&apumies&uskottu&läheinen ystävä&johdon sihteeri&reseptionisti&vastaanottovirkailija&suhdetoimintasihteeri&pikakirjoittaja&hallitussihteeri&kaupunginsihteeri&kulttuurisihteeri&kunnansihteeri&osastosihteeri&projektisihteeri&puoluesihteeri&toimistosihteeri;ihmiset & ammatit
secretary_2b.svg;sihteeri&Sagittarius serpentarius&sihteerilintu&aktuaari&luottohenkilö;petolintu&sagittarius-suku&hallintojohtaja&apumies&läheinen ystävä&johdon sihteeri&vastaanottovirkailija&suhdetoimintasihteeri&pikakirjoittaja&hallitussihteeri&kaupunginsihteeri&kulttuurisihteeri&kunnansihteeri&osastosihteeri&projektisihteeri&puoluesihteeri&toimistosihteeri&johdon assistentti&assistentti;petolintu&Sagittarius&Sagittarius-suku&hallintojohtaja&apulainen&assistentti&avustaja&apumies&uskottu&läheinen ystävä&johdon sihteeri&reseptionisti&vastaanottovirkailija&suhdetoimintasihteeri&pikakirjoittaja&hallitussihteeri&kaupunginsihteeri&kulttuurisihteeri&kunnansihteeri&osastosihteeri&projektisihteeri&puoluesihteeri&toimistosihteeri;ihmiset & ammatit
see_saw.svg;keinulauta&kiikkulauta;lelu;lelu;leikkikenttä & vapaa-aika & leikki & leikkiminen & puuha
seedling.svg;taimi&vesa;kasvi&puu;kasvi&puu;kasvit & kasvi & puu & puut & metsä
seeds.svg;siemenet;;Coriandrum sativum & korianteri;kasvit & kasvi & puu & puut & metsä
seizure.svg;kohtaus&otos&otto&kuva&puuska&kouristus&sairaskohtaus&raivokohtaus&kiukunpuuska&hysteerinen kohtaus&raivonpuuska;sopimus&kuvaus&tapaus&kohtaaminen&tapaaminen&metakka&riita&selkkaus&tapahtuma&toiminta&vuoro&kiertää&hapantua&konvulsio;kuvaaminen&elokuvaus&kuvaus&uusintaotto&valokuva&foto&pois jätetty otos&näytös&ohjelma&numero&vuoro&kappale&ohjelmanumero&näytelmä&tapaus&tapahtuma&huono tuuli&häijyys&äkäisyys&-kohtaus&kouristukset&fokaalikohtaus&raptus hemorrhagicus&poissaolokohtaus&kausi&ajanjakso&aikakausi&periodi&vaihe&sairauskohtaus;terveydentila & terveys & sairaus & sairaudet
senses.svg;aistit;elinryhmä&kuulojärjestelmä&näkö&tasapainojärjestelmä;elinryhmä&kuulojärjestelmä&näköjärjestelmä&näkö&tasapainoelimet&tasapainojärjestelmä;terveys & kehonosat & raajat & elimet
sensory_room.svg;aistihuone;;;koulu & rakennukset
sensory_tube.svg;aistiputki;;;apuvälineet
serene_lady.svg;levollinen&rauhallinen&maltillinen&seesteinen&tyyni&rentouttava&huoleton;unessa&välinpitämätön&uninen&hiljainen&suruton&puhdas&unia näkemätön&ongelmaton&piittaamaton&häiriintymätön&vahingoittumaton&tasainen&placid;nukuksissa oleva&nukuksissa&unessa&välinpitämätön&uinaileva&unelias&uninen&hiljainen&murheeton&suruton&puhdas&unia näkemätön&turvallinen&ongelmaton&piittaamaton&häiriintymätön&koskematon&vahingoittumaton;ihmiset & tunteet
serene_man.svg;levollinen&rauhallinen&maltillinen&seesteinen&tyyni&rentouttava&huoleton;unessa&välinpitämätön&uninen&hiljainen&suruton&puhdas&unia näkemätön&ongelmaton&piittaamaton&häiriintymätön&vahingoittumaton&tasainen&placid;nukuksissa oleva&nukuksissa&unessa&välinpitämätön&uinaileva&unelias&uninen&hiljainen&murheeton&suruton&puhdas&unia näkemätön&turvallinen&ongelmaton&piittaamaton&häiriintymätön&koskematon&vahingoittumaton;ihmiset & tunteet
serve_,_to.svg;tarjoilla&tarjota&jaella&jakaa&asettaa tarjolle&panna lautasille&heittää&pilata&palvella&hoitaa&huolehtia&avustaa;antaa&tehdä työtä&jelppiä&toimia yläluokkalaisen "orjana"&odottaa&odotus&odotella&syöttö&kosia&toimia&kohdella&käyttää&saattaa tietoon&toimittaa&istua&astua&syöttää&rihmata&tappaa;järjestää&hankkia&tyrkyttää&antaa&tehdä kovasti töitä&tehdä työtä&auttaa&olla avuksi&jeesata&jelpata&jelppiä&toimia yläluokkalaisen "orjana";ruoka & ruoanlaitto & ruuanlaitto
serviette.svg;servetti&lautasliina&ruokaliina&servietti;ruokalappu&pöytä- ja lautasliinat&teeliina&serviette;leukalappu&ruokalappu&pöytäliina ja ruokailuliinat&pöytä- ja lautasliinat&teeliina;ruoka & ruokailu & syöminen & ateria
set_the_table_,_to.svg;kattaa;verhota&varautua&päällystää&asfaltoida&sementoida&haukkua&pakka&peittyä&kaakeli&fliese&garer&suojus&yläosa&peitellä&betäcka&skydd&cobrir&gedeck&peite&azulejo&aisata&abdecken&krýt&haukahtaa;valmistaa&valmistella&pohjustaa&panna kuntoon&varustaa&varustautua&valmistautua&varautua&jälleenvakuuttaa&taata&pitää aseen kantama-alueella&kattaa oljilla&kattaa päreillä&neuloa&ommella&harsia&kursia kokoon&kursia&kattaa kivilaatoilla&turvata&vapauttaa vastuusta&antaa&tarjota&kalustaa&suojata&olla&pitää sisällään&käsittää&sulkea sisäänsä&sulkea piiriinsä&kuulua&korvata&hyvittää&ylikompensoida&kompensoida&mennä ristiin&halkoa&leikata&kestää&pyyhkiä&ylittää&pyyhkiä yli&olla limittäin&limittyä&olla osittain päällekkäinen&levitä&jatkua harjanteena&pilkuttaa&kuvioida&olla osa;rakennukset & kotityöt & työ & työt
set_timer_,_to.svg;ajastaa;oikaista;säätää&tarkistaa&asettaa&korjata&oikaista;ruoka & ruoanlaitto & ruuanlaitto
settee_1.svg;sohva&penkki&leposohva&seslonki;;vuodesohva&divaani&kahdenistuttava sohva&istuin&löhösohva;huonekalut & rakennukset & sisustus
settee_2.svg;sohva&penkki&leposohva&seslonki;;vuodesohva&divaani&kahdenistuttava sohva&istuin&löhösohva;huonekalut & rakennukset & sisustus
seven.svg;seitsemän&7&vii&VII&seitsikko&heptadi&septetti&seitsemäinen;numero&sète&bay&sju&sjua&seitse&hebdomas&septette&septet;luku&numero;numerot & matematiikka & matikka
seven_dots.svg;seitsemän pistettä;;;numerot & matematiikka & matikka
seventeen.svg;seitsemäntoista&17&xvii&XVII;suuri kokonaisluku;suuri kokonaisluku;numerot & matematiikka & matikka
seventy.svg;seitsemänkymmentä&70&LXX;suuri kokonaisluku&lxx&sepdek&şaptezeci;suuri kokonaisluku;numerot & matematiikka & matikka
seventy_five_percent.svg;75 prosenttia;;;määrä & kuvaileva
shallow.svg;matala;lattea&alava&laakea&lyhyt&pienikokoinen&vähäinen&alhainen&pieni&halpa&halpa-arvoinen&köyhä&nöyrä&vähäväkinen&arkinen&jokapäiväinen&mauton&tavallinen&tökerö&arvoton&halpamainen&möreä&hiljainen&vaimea&litteä&ohut&syvä&mělčina&ford&syvällä&inland sea&αβαθής&syvänne;nilkansyvyinen&nilkkoihin ulottuva&polvenkorkuinen&polviin ulottuva&kahlattavissa oleva&matalanmeren&särkkäinen&karikkoinen&kielekkeinen&syvä&matalakasvuinen&epätavallisen matala&alapuolinen&alempi&alttoääninen&käheä&hissitön&alempiarvoinen&lyhyt&pieni&alas&jäljessä&sävelkorkeus&syvyys&korkeus&pituus;määrä & kuvaileva
shampoo.svg;shampoo&hiustenpesuaine&sampoo;puhdistin&champú&xampu;puhdistusaine&tahranpoistoaine&puhdistin;hoitotarvikkeet & terveys
shampoo_animal_,_to.svg;shampoo&hiustenpesuaine&sampoo;puhdistin&champú&xampu;puhdistusaine&tahranpoistoaine&puhdistin;eläintenhoito & lemmikit & eläimet
shampoo_hair_,_to.svg;shampoo&hiustenpesuaine&sampoo;puhdistin&champú&xampu;puhdistusaine&tahranpoistoaine&puhdistin;hoitotoimet & terveys
shape_puzzle.svg;muotolauta;;;vapaa-aika & lelut
shapes.svg;muodot;;;kuvaileva & muoto
shapesorter.svg;muotopalikat;;;vapaa-aika & lelut
sharp.svg;terävä&nokkela&ovela&älykäs&kätevä&taitava&nerokas&nopeaälyinen&sanavalmis&viekas&katala&kavala&juonikas&konnamainen&laskelmoiva&petollinen&pettävä&kiero&luihu&näppärä&nokallinen&suippopäinen&teroitettu&fiksu&neuvokas&hyvä&viisas&näpparä&kovaääninen&pureva&kimakka&tarkkanäköinen&terävänäköinen&selkeä&tarkka&pistävä&suorapuheinen&jyrkkä&kohtisuora&äkkijyrkkä&pystysuora&kimeä&kalsea&kolea&raaka&etevä&välkky&nopea&sukkela&havaintokykyinen&terävä-älyinen&arvostelukykyinen&vaatelias&naseva&osuva&veitsenterävä&syvällinen&syvältä luotaava&läpitunkeva&pisteliäs&katkera&kipeä&kova&vaikea&kärkevä&ivallinen&sapekas&rikinkatkuinen&erittäin ilkeämielinen&vihamielinen&myrkyllinen&kitkerä&kyyninen&sarkastinen&teräväsanainen&teräväkärkinen&suippo&neulamainen&terävähuippuinen&voimakas&vahva&napakka&musta&synkkä&iloton&kiehtova;herkkä&viiltävä&pystyvä&kekseliäs&iskevä&kärjekäs&pirullinen&korkea&täsmällinen&tunnollinen&hirvikärpänen&apple pie&kirvellä&räväkkä&iskukykyinen;tarkkaava&valpas&tarkkaavainen&virkeä&taidokas&nokkamainen&lipallinen&lyhytnokkainen&vahvanokkainen&suoranokkainen&paksunokkainen&katuälykäs&räädi&urbaani&välttämätön&suora&erottuva&talttamainen&tikarimainen&poramainen&-teräinen&torahammasmainen&viilamainen&teräväreunainen&metallia leikkaava&tunkeutuva&terävähampainen&vihlova&tehokas&hedelmällinen&korkea&jäähtynyt&kylmä&älyllinen&käsittävä&ymmärtävä&apperseptiivinen&kykenevä mieltämään uuden asian aikaisempaan tietoon&oivaltava&vireä&tarkkakatseinen&teräväsilmäinen&herkkä&ymmärtäväinen&myötätuntoinen&epämiellyttävä&okamainen&väkämäinen&piikkimäinen&viistetty&sojottava&viisikärkinen&sukkulamainen&värttinämäinen&sikarinmuotoinen&pyramidin muotoinen&kuusikärkinen&piikkikärkinen&yhtä voimakas&monikykyinen&vaikutusvaltainen&voimallinen&kulmikas&piristävä&terävyys&väkevyys&tehokkuus&vahvuus&teho&puhekielen ilmaus&arkikielen ilmaus;kuvaileva & muoto
shave_,_to.svg;ajella;ajella munkin pää&keritä&siirtyä&laskea virtaa&ylittää&ajaa vaunuissa&polkea&ajaa moottoripyörää&matkustaa junalla&ajaa reellä&veneillä&ajaa vuokra-autolla&pyytää peukalokyytiä&moottorikelkkailla&olla reppuselässä&harrastaa toimintaa&rasurar&golić&afeitado;ajella munkin pää&huolitella&keritä&liikkua&mennä&siirtyä&laskea virtaa&ylittää&ajaa vaunuissa&ajaa polkupyörällä&polkupyöräillä&pyöräillä&polkea&ajaa moottoripyörällä&moottoripyöräillä&ajaa moottoripyörää&matkustaa junalla&ajaa reellä&veneillä&ajaa taksilla&ajaa vuokra-autolla&liftata&matkustaa peukalokyydillä&pyytää peukalokyytiä&ajaa moottorikelkalla&moottorikelkkailla&olla reppuselässä&harrastaa toimintaa;hoitotoimet & terveys
shave_underarm_,_to.svg;ajaa kainalot;;;hoitotoimet & terveys
shave_with_razor_,_to.svg;ajaa partahöylällä;;;hoitotoimet & terveys
shaving_cream.svg;partavaahto&partasaippua;hygieniatarvikkeet&pintavaahto&vaahto;pesutarvikkeet&hygieniatarvikkeet&vaahto&pintavaahto&saippuavaahto;hoitotarvikkeet & terveys
sheep.svg;lammas;onttosarvinen&lampaiden suku&uuhi&pässi&oinas&vuona&musta lammas&ovis aries&cotswold&hampshire-lammas&lincoln&exmoor&cheviot&karakullammas&merinolammas&rambouillet&liha&katras&lauma&seuraaja&tyhmyri&hyväuskoinen hölmö&neljännesvuosittainen palkkapäivä&jäärä&karitsa&pez&schaf&mutton&Ōi&carnero&lambskin&får&ŝafo&lampaanvilla;onttosarvinen&lampaat&lampaiden suku&emälammas&uuhi&pässi&oinas&karitsa&vuona&musta lammas&Cotswold&Hampshire-lammas&Lincoln&exmoor&Cheviot&karakul-lammas&karakullammas&merino&merinolammas&Rambouillet&liha&lauma&katras&kannattaja&seuraaja&pölkkypää&tomppeli&typerys&yksinkertainen ihminen&yksinkertainen&hölmö&tyhmyri&uhri&hyväuskoinen hölmö&neljännesvuosittainen palkkapäivä;nisäkkäät & eläimet
shells.svg;kuoret;;;tiede
shepherd_1a.svg;paimen;vuohipaimen&apumies&esimies&sikopaimen&igumeeni&paimentaja&suojelija&kaitsija&huolehtija&puolustaja&avustaja&karjankasvattaja&pappi;vuohipaimen&apulainen&renki&maatyöläinen&apumies&johtaja&valvoja&esimies&sikopaimen;ihmiset & ammatit
shepherd_1b.svg;paimen;vuohipaimen&apumies&esimies&sikopaimen&igumeeni&paimentaja&suojelija&kaitsija&huolehtija&puolustaja&avustaja&karjankasvattaja&pappi;vuohipaimen&apulainen&renki&maatyöläinen&apumies&johtaja&valvoja&esimies&sikopaimen;ihmiset & ammatit
shin.svg;sääri&jalka&pohje;saari&keittiösaareke&turva-alue&ruumiinosa&raaja&koipi&tibia vara&apostolin kyyti&rimppakintut&vyöhyke&anguilla&aransaaret&antigua&barbuda&redonda&bermudan saaret&bouvet’nsaari&montserrat&sao tiago island&falklandinsaaret&ceylon&chiloe&formosa&kiinan tasavalta&guadalupen saari&karibianmeren saaret&alankomaiden antillit&aruba&bonaire&curacao&saba&st. eustatius&saint-martin&kuuba&guadeloupe&haiti&puerto rico&culebra&vieques&jamaika&neitsytsaaret&barbados&trinidad&tobago&kypros&sjælland&dominica&bioko&huippuvuoret&galápagos&fidžisaaret&viti levu&vanua levu&aigeian saari&kriti&ithaka&aegates&limnos&capri&ischia&sardinia&sisilia&kalaallit nunaat&baffininsaari&vancouverin saari&newfoundland&cape bretonin saari&tasmania&norfolkinsaari&saipan&gu&wake-saari&mukavuudensaari&kalimantan&bougainville&guadalcanal&uusi-britannia&uusi-kaledonia&uusi-guinea&uusi-irlanti&bahreinin saari&britteinsaaret&gb&vihreä saari&kanaalisaaret&mansaari&skyen saari&islay&mull&staffa&ynys môn&jaava&bali&timor&sumatra&sulawesi&maustesaaret&hokkaidō&honshū&kyūshū&shikoku&okinawa&iwo jima&Île-st-louis&korsika&martinique&färsaaret&islanti&madagaskar&malediivit&malta&mauritius&uusi-seelanti&pohjoissaari&eteläsaari&cebu&luzon&mindanao&mindoro&bisayas&azorit&madeira&st. kitts&nevis&sombrero&st. lucia&st. vincent&tahiti&samoan saaristo&principe&seychellien saaret&singaporen saari&novaja zemlja&mallorca&kanariansaaret&teneriffa&sansibar&admiraltysaari&catalina island&havaijin saari&kahoolawe-saari&kauai-saari&lanain saari&mauin saari&molokain saari&niihaun saari&oahun saari&martha's vineyard&nantucket&bedloe's island&manhattanin saari&ellis island&long island&galvestoninsaari&krakatau&uuden-siperian saaret&saaristo&sulkusaari&pieni saari&kodiakinsaari&maanpinta&perejil&etelämeren saaret&wightsaari&jalkapuoli&hanka&kinttu&eka;saareke&saari&keittiösaareke&turva-alue&ruumiinosa&jäsen&raaja&kinttu&koipi&vääräsääri&länkisääret&länkipolvi&O-jalat&genu varum&tibia vara&apostolin kyyti&pitkät koivet&rimppakintut&alue&vyöhyke&Anguilla&Aransaaret&Antigua&Barbuda&Redonda&Bermuda&Bermudan saaret&Bouvet’nsaari&Montserrat&Sao Tiago Island&Falklandin saaret&Falklandinsaaret&Ceylon&Chiloe&Taiwan&Formosa&Kiinan tasavalta&Guadalupen saari&Karibianmeren saaret&Alankomaiden Antillit&Aruba&Bonaire&Curacao&Saba&Saint Eustatius&St. Eustatius&Saint Martin&St. Martin&Saint Maarten&St. Maarten&Saint-Martin&Kuuba&Guadeloupe&Hispaniola&Haiti&Puerto Rico&Culebra&Vieques&Jamaika&Neitsytsaaret&Barbados&Trinidad&Tobago&Kypros&Själlanti&Seeland&Sjaelland&Sjælland&Dominica&Bioko&Huippuvuoret&Galápagossaaret&Galápagos&Fidžisaaret&Viti Levu&Vanua Levu&Aigeian saari&Kreeta&Kriti&Ithaka&Egadi-saaret&Aegates-saaret&Isole Egadi&Aegates&Lemnos&Limnos&Capri&Ischia&Sardinia&Sisilia&Grönlanti&Kalaallit Nunaat&Baffininsaari&Vancouverinsaari&Vancouverin saari&Newfoundland&Cape Breton Island&Cape Bretonin saari&Tasmania&Norfolkinsaari&Saipan&Guam&GU&Wake&Wake-saari&Nauru&Naurusaari&Mukavuudensaari&Borneo&Kalimantan&Bougainville&Guadalcanal&Uusi-Britannia&Uusi-Kaledonia&Uusi-Guinea&Uusi-Irlanti&Bahrain&Bahrein&Bahrainin saari&Bahreinin saari&Britteinsaaret&Iso-Britannia&GB&Irlanti&Hibernia&Vihreä saari&Kanaalisaaret&Man&Mansaari&Skyen saari&Islay&Mull&Staffa&Anglesey&Angleseyn saari&Anglesea&Ynys Môn&Jaava&Bali&Timor&Sumatra&Celebes&Sulawesi&Maluku&Molukit&Maustesaaret&Hokkaido&Ezo&Yezo&Hokkaidō&Honshū&Kyūshū&Shikoku&Okinawa&Iwo Jima&Île-St-Louis&Korsika&Martinique&Färsaaret&Islanti&Madagaskar&Malediivit&Malta&Mauritius&Uuden-Seelannin saaret.&Uusi-Seelanti&Pohjoissaari&South Island&Eteläsaari&Cebu&Luzon&Mindanao&Mindoro&Visayas saaret&Bisayas&Azorit&Madeira&Saint Christopher&St. Christopher&Saint Kitts&St. Kitts&Nevis&Sombrero&Saint Lucia&St. Lucia&Saint Vincent&St. Vincent&Tahiti&Samoa&Samoan saaret&Samoan saaristo&Principe&Seychellit&Seychellien saaret&Singapore&Singaporen saari&Novaja Zemlja&Majorca&Mallorca&Kanariansaaret&Teneriffa&Sansibar&Admiraltysaari&Santa Catalina&Catalina Island&Havaiji&Havaijin saari&Kahoolawe&Kahoolawe-saari&Kauai&Kauai-saari&Lanai&Lanain saari&Maui&Mauin saari&Molokai&Molokain saari&Niihau&Niihaun saari&Oahu&Oahun saari&Martha's Vineyard&Nantucket&Liberty Island&Bedloe's Island&Manhattanin saari&Ellis Island&Long Island&Galvestoninsaari&Krakatau&Uuden-Siperian saaret&saaristo&sulkusaari&luoto&pieni saari&Kodiak&Kodiakinsaari&maa&kuiva maa&maanpinta&Perejil&Etelämeren saaret&Wight&Wightin saari&Wightsaari;terveys & kehonosat & raajat & elimet
shiny.svg;kimaltava&kiiltävä;koristettu;koristeltu&koristettu;tila & kuvaileva
shirt.svg;paita&aluspaita&paitapusero;pusero&daishiki&kauluspaita&vaatekappale&jouhipaita&villapusero&kurta&urheilupusero&paitakangas&toppi&työpaita;pusero&dashiki&daishiki&frakkipaita&kauluspaita&vaate&vaatekappale&jouhipaita&neulepusero&villapaita&t-paita&villapusero&kurta&poolopaita&urheilupaita&urheilupusero&paitakangas&toppi&työpaita;vaatteet
shoe_-_ladies.svg;kenkä&hevosenkenkä;jalkine&nilkkuri&mono&tossu&popot&stiflat&avokas&lapikas;nilkkuri&ensikengät&vauvan kengät&nauhallinen nahkakenkä&keilailukenkä&työkenkä&tukeva kenkä&varsisandaali&korkeapohjainen naisen kenkä&korokepohjainen kenkä&chukka-kengät&chukka-jalkine&piikkarit&venykevarsikenkä&räpylä&uimaräpylä&jalkineet&damaski&nilkkain&nauhakenkä&kumitossu&voimistelutossu&lenkkitossu&tennistossu&mokkasiinit&mokkasiini&oxford-kenkä&levy&laatta&kuori&avokengät&juoksukenkä&puukenkä&sandaali&sandaalit&kävelykenkä&kiilakorkokenkä&suippokärkinen kenkä;vaatteet
shoe_-_mans.svg;kenkä&hevosenkenkä;jalkine&nilkkuri&mono&tossu&popot&stiflat&avokas&lapikas;nilkkuri&ensikengät&vauvan kengät&nauhallinen nahkakenkä&keilailukenkä&työkenkä&tukeva kenkä&varsisandaali&korkeapohjainen naisen kenkä&korokepohjainen kenkä&chukka-kengät&chukka-jalkine&piikkarit&venykevarsikenkä&räpylä&uimaräpylä&jalkineet&damaski&nilkkain&nauhakenkä&kumitossu&voimistelutossu&lenkkitossu&tennistossu&mokkasiinit&mokkasiini&oxford-kenkä&levy&laatta&kuori&avokengät&juoksukenkä&puukenkä&sandaali&sandaalit&kävelykenkä&kiilakorkokenkä&suippokärkinen kenkä;vaatteet
shooting_star.svg;tähdenlento&meteori;luuseri&näkyvä säteily&tulipallo;epäonnistuja&epäonnistumaan tuomittu henkilö&epäonnistunut ihminen&luuseri&valo&näkyvä valo&näkyvä säteily&bolidi&tulipallo;tiede
shop.svg;kauppa;kaupallinen&pulju&työpaikka&dealer&elinkeinoelämä&auseinandersetzen&handeln&comercio&showroom&komercar&kauppapaikka&putiikki&marketti;kaupallinen&epäkaupallinen&rehellinen kaupankäynti&reilu kauppa&vapaakauppa&sähköinen kaupankäynti&verkkokauppa&verkkokaupankäynti&rahanvaihto&vaihto&vaihtaminen&listautumisanti&ensitarjousmyynti&liikeyritys&elinkeinoelämä&yritystoiminta&kaupallinen toiminta&asiakaskunta&asiakkaat&maaliiketoiminta&carriage trade&toimitus&toimitukset&transaktio&vuorovaikutus&asehankinta&pikkubisnes&tuonti&maahantuonti&vienti&markkinointi&jakelu&levittäminen&myynti&kaupanteko&kaupustelu&luvaton kauppa&mustapörssi&maksaminen&maksun suoritus&maksusuoritus&kiertäminen&maksamatta jättäminen&leipomo&parturi&parturiliike&basaari&vedonlyöntitoimisto&lähikauppa&kirjakauppa&kirjakioski&koju&myyntikoju&putiikki&muotiliike&rakennustarvikeliike&lihakauppa&kanttiini&ketjumyymälä&pesula&vaatetusliike&käsityötarvikeliike&ompelutarvikekauppa&miesten asusteliike&miesten vaatekauppa&vaatekauppa&tietokonekauppa&konditoria&suklaapuoti&karkkikauppa&myöhään auki oleva pikkukauppa&einesmyymälä&ruokakauppa&apteekki&kukkakauppa&lahjakauppa&lahjatavarakauppa&rautakauppa&rautakauppias&huumekauppa&halpatavarakauppa&kauppapaikka&vähittäismyymälä&myyntipiste&hattukauppa&varusteliike&alkoholimyymälä&viinakauppa&panttilainaamo&kanikonttori&kani&hajuvesiliike&eläinkauppa&lemmikkieläinkauppa&pizzeria&pitseria&pitsaravintola&korjaamo&huoltamo&salonki&kauneussalonki&kauneushoitola&jalkineliike&kenkäpuoti&kenkäkauppa&erikoiskauppa&kirppari&käytettyjen tavaroiden kauppa&tupakkakauppa&lelukauppa&ehdollinen kauppa&pakkomyynti&pakkohuutokauppa&ymmärrys&yhteisymmärrys&yksimielisyys&agentuuri&edustus&kaupanvälitys&kuljetusliike&kuljettaja&kuljetustoimisto&kuljetusyritys&ketju&kauppaketju&kauppahuone&franchise-liike&valmistaja&osakkaat&jalostaja&laivanrakennus&osasto&pikkuraha&pilkkahinta&matka-alennus&arvopaperikauppa&asekauppa&asuntokauppa&autoliike&erikoisliike&idänkauppa&jäsenyritys&kauppaliike&keskusliike&kiinteistökauppa&kyläkauppa&maailmankauppa&maakauppa&matkailuyritys&osakekauppa&osuuskauppa&pienyritys&puukauppa&rakennusliike&suomalaisyritys&teollisuusyritys&ulkomaankauppa&vientiyritys;kauppa & kaupat & rakennukset
shop_2.svg;kauppa;kaupallinen&pulju&työpaikka&dealer&elinkeinoelämä&auseinandersetzen&handeln&comercio&showroom&komercar&kauppapaikka&putiikki&marketti;kaupallinen&epäkaupallinen&rehellinen kaupankäynti&reilu kauppa&vapaakauppa&sähköinen kaupankäynti&verkkokauppa&verkkokaupankäynti&rahanvaihto&vaihto&vaihtaminen&listautumisanti&ensitarjousmyynti&liikeyritys&elinkeinoelämä&yritystoiminta&kaupallinen toiminta&asiakaskunta&asiakkaat&maaliiketoiminta&carriage trade&toimitus&toimitukset&transaktio&vuorovaikutus&asehankinta&pikkubisnes&tuonti&maahantuonti&vienti&markkinointi&jakelu&levittäminen&myynti&kaupanteko&kaupustelu&luvaton kauppa&mustapörssi&maksaminen&maksun suoritus&maksusuoritus&kiertäminen&maksamatta jättäminen&leipomo&parturi&parturiliike&basaari&vedonlyöntitoimisto&lähikauppa&kirjakauppa&kirjakioski&koju&myyntikoju&putiikki&muotiliike&rakennustarvikeliike&lihakauppa&kanttiini&ketjumyymälä&pesula&vaatetusliike&käsityötarvikeliike&ompelutarvikekauppa&miesten asusteliike&miesten vaatekauppa&vaatekauppa&tietokonekauppa&konditoria&suklaapuoti&karkkikauppa&myöhään auki oleva pikkukauppa&einesmyymälä&ruokakauppa&apteekki&kukkakauppa&lahjakauppa&lahjatavarakauppa&rautakauppa&rautakauppias&huumekauppa&halpatavarakauppa&kauppapaikka&vähittäismyymälä&myyntipiste&hattukauppa&varusteliike&alkoholimyymälä&viinakauppa&panttilainaamo&kanikonttori&kani&hajuvesiliike&eläinkauppa&lemmikkieläinkauppa&pizzeria&pitseria&pitsaravintola&korjaamo&huoltamo&salonki&kauneussalonki&kauneushoitola&jalkineliike&kenkäpuoti&kenkäkauppa&erikoiskauppa&kirppari&käytettyjen tavaroiden kauppa&tupakkakauppa&lelukauppa&ehdollinen kauppa&pakkomyynti&pakkohuutokauppa&ymmärrys&yhteisymmärrys&yksimielisyys&agentuuri&edustus&kaupanvälitys&kuljetusliike&kuljettaja&kuljetustoimisto&kuljetusyritys&ketju&kauppaketju&kauppahuone&franchise-liike&valmistaja&osakkaat&jalostaja&laivanrakennus&osasto&pikkuraha&pilkkahinta&matka-alennus&arvopaperikauppa&asekauppa&asuntokauppa&autoliike&erikoisliike&idänkauppa&jäsenyritys&kauppaliike&keskusliike&kiinteistökauppa&kyläkauppa&maailmankauppa&maakauppa&matkailuyritys&osakekauppa&osuuskauppa&pienyritys&puukauppa&rakennusliike&suomalaisyritys&teollisuusyritys&ulkomaankauppa&vientiyritys;kauppa & kaupat & rakennukset
short.svg;lyhyt&suppea&tiivis&ytimekäs&kompakti&tiivistetty&lyhennetty&-pätkä&lyhytaikainen&huono&pieni&pienikokoinen&pikkuruinen&kitukasvuinen&pätkä;supistettu&hetkellinen&nopea&pikainen&ohimenevä&äkkinäinen&matala&tilapäinen&compendium&promo&lyhyenläntä&tappi&polvipituinen&ohikiitävä&nysä;supistettu&lyhytsanainen&matala&lyhyeksi ajeltu&typistetty&katkaistu&lyhyehkö&lyhyen matkan&lyhytkuonoinen&kokoonpainunut&lyhentynyt&tylppä&viistetty&viistokulmainen&ohimenevä&tilapäinen&hetkellinen&ohikiitävä&haihtuva&lyhyen ajan&lyhyen aikavälin&hajamielinen&tanakka&lyhyenläntä&raskasrakenteinen&tukeva&paksu&vanttera&lyhytvartinen&lyhyt ja läski&lylleröinen&koko&pituus&kesto&slangi&ammattikieli&erikoiskieli&murre&ammattislangi&jargon;ihmiset & kuvaileva
